Name,Products,Brand,Color,Price,Size,Formula,Ingredients,About,URL
RadiantGlow Foundation,Foundation,Luminous Beauty,Light Ivory - Light with cool undertones,45,30.0 ml,Liquid,"Water,Glycerin,Titanium Dioxide,Dimethicone,Aloe Vera",A radiant finish foundation that provides medium coverage with a natural glow. Perfect for all skin types.,https://lh3.googleusercontent.com/pw/AP1GczMKf0c1qLDV3wI6kevBeNQHQOBmUim-UM0u9S7gK5QfCkg6pZTpy1uoMU_cWpsd70_WPaovwVfGzucinVby2bFWnm5TOCvGHiZQptXi8rtSoPIkJKlA-i4rDCsUVTXUuN3VmjToLpQzEqK3M-nlaEza=w609-h913-s-no-gm?authuser=1
RadiantGlow Foundation,Foundation,Luminous Beauty,Medium Beige - Medium with neutral undertones,45,30.0 ml,Liquid,"Water,Glycerin,Titanium Dioxide,Dimethicone,Aloe Vera",A radiant finish foundation that provides medium coverage with a natural glow. Perfect for all skin types.,https://lh3.googleusercontent.com/pw/AP1GczNNrl3XtMXaQwiGcSUcGxehyflDn4D65KkmyQDB-TmVy4R2sBDDSk-kJ0lUrA57Ko73LCYX2TVK0ejQJneB9QCEWhuW_kfVjvK-ba6u0ZOW42PY7xHF2-Kur9oz1QGwRtXEB2CX9OwyEnNMAwsrgsFx=w609-h913-s-no-gm?authuser=1
RadiantGlow Foundation,Foundation,Luminous Beauty,Deep Cocoa - Dark with rich undertones,45,30.0 ml,Liquid,"Water,Glycerin,Titanium Dioxide,Dimethicone,Aloe Vera",A radiant finish foundation that provides medium coverage with a natural glow. Perfect for all skin types.,https://lh3.googleusercontent.com/pw/AP1GczPjHv_DDpd4_q6bPZWP-aAZYe4NaE03cDTRG6Z0xXpKwp0albpB5s09IHOHa_tIfXW4ojwUpFjZLE3zpWp5eh1_uaFs_v2f9ptrExZHaFMv-CfSVtPrc-yGsQ2NemCcYf_QnjJm4-_ATo37lA-TVOaz=w609-h913-s-no-gm?authuser=1
VelvetTouch Foundation,Foundation,Smooth Finish,Porcelain Silk - Light with neutral undertones,39,25.0 ml,Powder,"Talc,Mica,Silica,Jojoba Oil,Vitamin E",A powder foundation with a velvety texture that provides buildable coverage and a soft-matte finish.,https://lh3.googleusercontent.com/pw/AP1GczO3gYFmFEKOlyhRRzXkJAeziau6E0Gc1hexNQtqbZ-TUccFMELAkkHs34hMeJqJ-Rnv_3IE-md-Fyp-vvzeF1NijrFGnlQf3dXa-ITUvQh129TG4xrs8CXxju69CZJrSHfIpYZyq5K9Pi7ze1XrcUHr=w1141-h913-s-no-gm?authuser=1
VelvetTouch Foundation,Foundation,Smooth Finish,Honey Gold - Medium with warm undertones,39,25.0 ml,Powder,"Talc,Mica,Silica,Jojoba Oil,Vitamin E",A powder foundation with a velvety texture that provides buildable coverage and a soft-matte finish.,https://lh3.googleusercontent.com/pw/AP1GczPSqOntaOjwfs_WckQEmAgO-UCZweR-uvoGBUPxRN5GYQ0SaUzgTZyYQH-GKRsLqjflNqeWPq4QQqs2a24rvnnYbbxk_0N6ldqte4exdiMJAHB6kiV0VZdv9cJHaUfmITMCY4m2C7sJU_se0KSg9Ly4=w1141-h913-s-no-gm?authuser=1
VelvetTouch Foundation,Foundation,Smooth Finish,Espresso Deep - Dark with neutral undertones,39,25.0 ml,Powder,"Talc,Mica,Silica,Jojoba Oil,Vitamin E",A powder foundation with a velvety texture that provides buildable coverage and a soft-matte finish.,https://lh3.googleusercontent.com/pw/AP1GczNaDVvTQYcQhzoB0yGzdxy9-H072CXWGDTYeM13afNq0ne-3jXU3wboARVdYK_hL4dH4qumJU5rEUXMGa7xZYrlvPdD76A7hLJsGmdU0QyYRJv79bnOjVND14LGzmdLeQl-s1GGtxw_zR6Ohi0VuOaT=w1141-h913-s-no-gm?authuser=1
EcoBlend Foundation,Foundation,Nature Essence,Alabaster Light - Light with warm undertones,42,35.0 ml,Cream,"Water,Beeswax,Coconut Oil,Shea Butter,Chamomile Extract",A cream foundation made with natural ingredients for a flawless and hydrating coverage.,https://lh3.googleusercontent.com/pw/AP1GczODJpHayW2g58TJI_FWvtCjUK9dfqe6ThAZFqMAbITATpySc224jDd58lFoq118GGnFWXbV8fBVyI_U4tTpEmbwAE3ACVaIubKR-NVpt7n90pNWc67GBjRxTPDrrOOWUh0z-tuoAHF5jiGOphfZhn42=w913-h913-s-no-gm?authuser=1
EcoBlend Foundation,Foundation,Nature Essence,Sunlit Bronze - Medium with golden undertones,42,35.0 ml,Cream,"Water,Beeswax,Coconut Oil,Shea Butter,Chamomile Extract",A cream foundation made with natural ingredients for a flawless and hydrating coverage.,https://lh3.googleusercontent.com/pw/AP1GczNf3XT1f0_oJ8vNq26GR2I9tBXJu2dMeOUX4m2N6bDYIAA7d5osBIxcUAGlsrxUlR4G7sxjunGFfDkrW5res0S7zSvx74FzPsPcquaYJb0d6Li_JyDW9XpWspQzHy4UhYQ3KuJUqwpxqEn2Ni9esjsV=w913-h913-s-no-gm?authuser=1
EcoBlend Foundation,Foundation,Nature Essence,Mocha Magic - Dark with rich undertones,42,35.0 ml,Cream,"Water,Beeswax,Coconut Oil,Shea Butter,Chamomile Extract",A cream foundation made with natural ingredients for a flawless and hydrating coverage.,https://lh3.googleusercontent.com/pw/AP1GczOn1vunJSq8Lwe_P5FyS2DxE7AUGJUoNbHOHp7uGYeehGw_J2JBPUpEeKBTpU5dKvkBrt7AKBrpcOVIp7PDqZT11XlQMR-LUE0GZEHg47vXXYTCGn4UGQJAXyFIuU5LmASWm6Ii28OjvN573qHJTn1i=w913-h913-s-no-gm?authuser=1
SilkRadiance Foundation,Foundation,Glamour Glow,Petal Fair - Light with rosy undertones,49,30.0 ml,Liquid,"Water,Cyclopentasiloxane,Glycerin,Dimethicone,Hyaluronic Acid",A liquid foundation that provides a silky smooth finish with long-lasting hydration and coverage.,https://lh3.googleusercontent.com/pw/AP1GczP70QtGo0F9dm91_8GiMQNgJVsK0LvYxPzSwSiZnXh7BnhGous9OIYfpP0Vl82BnA33lDk3bGbmKDssaPR3W631DzTzw9gZrEFlJBSuDTuXUOxTTCJZn9GOMkj1gVlS0PQ8AQXH__K5BuBDsLCuxjm0=w1368-h913-s-no-gm?authuser=1
